,Ten tap chi,issn,online issn,print issn,linking issn,impact_factor
2784,Journal of the Japanese and International Economies,, 1095-8681, 0889-1583,,2.9
2785,Journal of Jesuit Studies, 2214-1324,,,,
2786,Journal of Joint Surgery and Research, 2949-7051,,,,
2787,Journal of King Saud University - Computer and Information Sciences,, 2213-1248, 1319-1578,,6.9
2788,Journal of King Saud University - Engineering Sciences,, 2213-1558, 1018-3639,,
2789,Journal of King Saud University - Languages and Translation, 2210-8319,,,,
2790,Journal of King Saud University - Science,, 2213-686X, 1018-3647,,3.8
2791,Journal of Korean Nature, 1976-8648,,,,
2792,Journal of the Korean Statistical Society, 1226-3192,,,,
2793,Journal of Laboratory and Clinical Medicine, 0022-2143,,,,
2794,Journal of the Less Common Metals, 0022-5088,,,,
2795,Journal of Light Metals, 1471-5317,,,,
2796,Journal of Lipid Mediators and Cell Signalling, 0929-7855,,,,
2797,Journal of Lipid Research,, 1539-7262,, 0022-2275,6.7
2798,The Journal of Liquid Biopsy, 2950-1954,,,,
2799,Journal of Liver Transplantation,, 2666-9676,,,2.7
2800,The Journal of Logic and Algebraic Programming, 1567-8326,,,,
2801,The Journal of Logic Programming, 0743-1066,,,,
2802,Journal of Logical and Algebraic Methods in Programming,, 2352-2216, 2352-2208,,0.9
2803,Journal of Loss Prevention in the Process Industries,, 1873-3352, 0950-4230,,3.5
2804,Journal of Luminescence,, 1872-7883, 0022-2313,,3.6
2805,Journal of Macroeconomics,, 1873-152X, 0164-0704,,1.4
2806,Journal of Magnesium and Alloys,, 2213-9567,,,17.6
2807,Journal of Magnetic Resonance,, 1096-0856, 1090-7807,,2.2
2808,Journal of Magnetic Resonance Open, 2666-4410,,,,2.2
2809,"Journal of Magnetic Resonance, Series A", 1064-1858,,,,
2810,"Journal of Magnetic Resonance, Series B", 1064-1866,,,,
2811,Journal of Magnetic Resonance (1969), 0022-2364,,,,
2812,Journal of Magnetism and Magnetic Materials,, 1873-4766, 0304-8853,,2.7
2813,Journal des Maladies Vasculaires, 0398-0499,,,,
2814,Journal of Management, 0149-2063,,,,
2815,Journal of Management Science and Engineering,, 2589-5532, 2096-2320,,6.6
2816,Journal of Manipulative and Physiological Therapeutics,, 1532-6586, 0161-4754,,1.3
2817,Journal of Manufacturing Processes,, 2212-4616, 1526-6125,,6.2
2818,Journal of Manufacturing Systems,, 1878-6642, 0278-6125,,12.1
2819,Journal of Marine and Island Cultures, 2212-6821,,,,
2820,Journal of Marine Systems,, 1879-1573, 0924-7963,,2.8
2821,Journal of Mass Spectrometry and Advances in the Clinical Lab,, 2667-145X, 2667-1468,,2.2
2822,Journal of Material Cultures in the Muslim World, 2666-6278,,,,
2823,Journal of Materials Processing Technology,, 1873-4774, 0924-0136,,6.3
2824,Journal of Materials Research and Technology,, 2214-0697, 2238-7854,,6.4
2825,Journal of Materials Science & Technology,, 1941-1162, 1005-0302,,10.9
2826,Journal of Materiomics,, 2352-8486, 2352-8478,,9.4
2827,Journal of Mathematical Analysis and Applications,, 1096-0813, 0022-247X,,1.3
2828,The Journal of Mathematical Behavior,, 1873-8028, 0732-3123,,1.7
2829,Journal of Mathematical Economics,, 1873-1538, 0304-4068,,1.3
2830,Journal of Mathematical Psychology,, 1096-0880, 0022-2496,,1.8
2831,Journal de Mathématiques Pures et Appliquées,, 1776-3371, 0021-7824,,2.3
2832,Journal of Maxillofacial Surgery, 0301-0503,,,,
2833,Journal of the Mechanical Behavior of Biomedical Materials,, 1878-0180, 1751-6161,,3.9
2834,Journal of Mechanical Working Technology, 0378-3804,,,,
2835,Journal of the Mechanics and Physics of Solids,, 1873-4782, 0022-5096,,5.3
2836,Journal of Mechanisms, 0022-2569,,,,
2837,Journal of Medical Colleges of PLA, 1000-1948,,,,
2838,Journal of Medical Hypotheses and Ideas, 2251-7294,,,,
2839,Journal of Medical Imaging and Radiation Sciences,, 1876-7982, 1939-8654,,1.8
2840,Journal of Medical Mycology,, 1773-0449, 1156-5233,,3.6
2841,Journal of Medical Ultrasound, 0929-6441,,,,
2842,"Journal of Medicine, Surgery, and Public Health", 2949-916X,,,,
2843,Journal of Medieval History, 0304-4181,,,,
2844,Journal of Membrane Science,, 1873-3123, 0376-7388,,9.5
2845,Journal of Membrane Science Letters, 2772-4212,,,,
2846,Journal of Memory and Language,, 1096-0821, 0749-596X,,4.3
2847,Journal of Men's Health, 1875-6867,,,,
2848,The Journal of Men's Health & Gender, 1571-8913,,,,
2849,Journal of Microbiological Methods,, 1872-8359, 0167-7012,,2.2
2850,"Journal of Microbiology, Immunology and Infection",, 1995-9133, 1684-1182,,7.4
2851,Journal of Microcomputer Applications, 0745-7138,,,,
2852,Journal of Microscopy and Ultrastructure, 2213-879X,,,,
2853,Journal of Midwifery & Women's Health, 1526-9523,,,,
2854,Journal of Migration and Health,, 2666-6235,,,4.6
2855,Journal of Minimally Invasive Gynecology,, 1553-4669, 1553-4650,,4.1
2856,Journal of Molecular Biology,, 1089-8638, 0022-2836,,5.6
2857,Journal of Molecular Catalysis, 0304-5102,,,,
2858,Journal of Molecular Catalysis A: Chemical, 1381-1169,,,,
2859,Journal of Molecular Catalysis B: Enzymatic, 1381-1177,,,,
2860,Journal of Molecular and Cellular Cardiology,, 1095-8584, 0022-2828,,5
2861,Journal of Molecular and Cellular Cardiology Plus, 2772-9761,,,,5
2862,The Journal of Molecular Diagnostics,, 1943-7811, 1525-1578,,4.1
2863,Journal of Molecular Graphics, 0263-7855,,,,
2864,Journal of Molecular Graphics and Modelling,, 1873-4243, 1093-3263,,2.9
2865,Journal of Molecular Liquids,, 1873-3166, 0167-7322,,6
2866,Journal of Molecular Spectroscopy,, 1096-083X, 0022-2852,,1.4
2867,Journal of Molecular Structure,, 1872-8014, 0022-2860,,3.8
2868,Journal of Molecular Structure: THEOCHEM, 0166-1280,,,,
2869,Journal of Monetary Economics,, 1873-1295, 0304-3932,,4.1
2870,Journal of Mood & Anxiety Disorders, 2950-0044,,,,
2871,Journal of Multinational Financial Management,, 1042-444X, 1873-1309,,4.2
2872,Journal of Multivariate Analysis,, 1095-7243, 0047-259X,,1.6
2873,Journal of Nanjing Medical University, 1007-4376,,,,
2874,Journal of the National Cancer Center,, 2667-0054,,,
2875,The Journal of the National Dental Association, 0097-1901,,,,
2876,Journal of the National Medical Association,, 1943-4693, 0027-9684,,3.3
2877,Journal of Natural Gas Chemistry, 1003-9953,,,,
2878,Journal of Natural Gas Geoscience,, 2468-256X, 2543-151X,,
2879,Journal of Natural Gas Science and Engineering, 1875-5100,,,,
2880,Journal of Natural Pesticide Research, 2773-0786,,,,
2881,Journal for Nature Conservation,, 1618-1093, 1617-1381,,2
2882,Journal of Neonatal Nursing,, 1878-089X, 1355-1841,,
2883,Journal of Network and Computer Applications,, 1095-8592, 1084-8045,,8.7
2884,Journal of Neuroimmunology,, 1872-8421, 0165-5728,,3.3
2885,Journal of Neurolinguistics,, 1873-8052, 0911-6044,,2
2886,Journal of the Neurological Sciences,, 1878-5883, 0022-510X,,4.4
2887,Journal of Neuroradiology,, 1773-0406, 0150-9861,,3.5
2888,Journal of Neurorestoratology, 2324-2426,,,,3.3
2889,Journal of Neuroscience Methods,, 1872-678X, 0165-0270,,3
2890,Journal of the Nigerian Mathematical Society, 0189-8965,,,,
2891,Journal of Non-Crystalline Solids,, 1873-4812, 0022-3093,,3.5
2892,Journal of Non-Crystalline Solids: X,, 2590-1591,,,3.5
2893,Journal of Non-Newtonian Fluid Mechanics,, 1873-2631, 0377-0257,,3.1
2894,Journal of Northeast Agricultural University (English Edition), 1006-8104,,,,
2895,Journal of Nuclear Cardiology, 1071-3581,,,,
2896,Journal of Nuclear Energy, 0022-3107,,,,
2897,Journal of Nuclear Energy. Part A. Reactor Science, 0368-3265,,,,
2898,Journal of Nuclear Energy. Part B. Reactor Technology, 0368-3273,,,,
2899,Journal of Nuclear Energy. Parts A/B. Reactor Science and Technology, 0368-3230,,,,
2900,Journal of Nuclear Energy (1954), 0891-3919,,,,
2901,Journal of Nuclear Materials,, 1873-4820, 0022-3115,,3.1
2902,Journal of Number Theory,, 1096-1658, 0022-314X,,0.7
2903,Journal of Nurse-Midwifery, 0091-2182,,,,
2904,The Journal for Nurse Practitioners,, 1878-058X,, 1555-4155,0.8
2905,Journal of Nursing Regulation,, 2155-8264, 2155-8256,,2.4
2906,The Journal of Nutrition, 0022-3166,,,,4.2
2907,Journal of Nutrition Education, 0022-3182,,,,
2908,Journal of Nutrition Education and Behavior,, 1878-2620, 1499-4046,,2.6
2909,"The Journal of nutrition, health and aging", 1279-7707,,,,
2910,Journal of Nutrition & Intermediary Metabolism, 2352-3859,,,,
2911,The Journal of Nutritional Biochemistry,, 1873-4847, 0955-2863,,5.6
2912,Journal of Obsessive-Compulsive and Related Disorders,, 2211-3657, 2211-3649,,1.8
2913,"Journal of Obstetric, Gynecologic & Neonatal Nursing",, 1552-6909, 0884-2175,,1.8
2914,Journal of Obstetrics and Gynaecology Canada,, 2665-9867, 1701-2163,,1.8
2915,Journal of Occupational Accidents, 0376-6349,,,,
2916,Journal of Ocean Engineering and Science,, 2468-0133,,,7.1
2917,Journal of Asian Natural Products Research, 1028-6020,,,,
2918,Journal of Immunology and Regenerative Medicine,, 2468-4988,,,
2919,Journal of Intelligent Transportation Systems, 1547-2450,,,,
2920,Journal of Oncological Sciences, 2452-3364,,,,
2921,"Journal of Open Innovation: Technology, Market, and Complexity", 2199-8531,,,,
2922,Journal of Operations Management, 0272-6963,,,,
2923,Journal of Optometry,, 1989-1342, 1888-4296,,2.3
2924,Journal of Oral Biology and Craniofacial Research,, 2212-4276, 2212-4268,,
2925,Journal of Oral Biosciences,, 1880-3865, 1349-0079,,2.4
2926,Journal of Oral and Maxillofacial Surgery,, 1531-5053, 0278-2391,,1.9
2927,"Journal of Oral and Maxillofacial Surgery, Medicine, and Pathology",, 2212-5566, 2212-5558,,0.4
2928,Journal of Organometallic Chemistry,, 1872-8561, 0022-328X,,2.3
2929,Journal of Orthopaedic Nursing, 1361-3111,,,,
2930,Journal of Orthopaedic Reports, 2773-157X,,,,1.5
2931,Journal of Orthopaedic Research, 0736-0266,,,,
2932,Journal of Orthopaedic Science,, 1436-2023, 0949-2658,,1.7
2933,Journal of Orthopaedic Translation,, 2214-0328, 2214-031X,,6.6
2934,Journal of Orthopaedics,, 0972-978X, 2589-9082,,1.5
2935,"Journal of Orthopaedics, Trauma and Rehabilitation", 2210-4917,,,,
2936,Journal of Osteopathic Medicine, 1443-8461,,,,
2937,Journal of Otology,, 2524-1753, 1672-2930,,1.9
2938,Journal of Outdoor Recreation and Tourism,, 2213-0799, 2213-0780,,3.8
2939,The Journal of Pain,, 1528-8447, 1526-5900,,4
2940,Journal of Pain and Symptom Management,, 1873-6513, 0885-3924,,4.7
2941,Journal of Palaeogeography,, 2524-4507,, 2095-3836,2.9
2942,Journal of Parallel and Distributed Computing,, 1096-0848, 0743-7315,,3.8
2943,Journal of Pathology Informatics, 2153-3539,,,,
2944,Journal of Patient Safety & Infection Control, 2214-207X,,,,
2945,Journal of Pediatric and Adolescent Gynecology,, 1873-4332, 1083-3188,,1.8
2946,Journal of Pediatric Health Care,, 1532-656X, 0891-5245,,2.8
2947,Journal of Pediatric Nursing,, 1532-8449, 0882-5963,,2.4
2948,Journal of Pediatric Oncology Nursing, 1043-4542,,,,
2949,Journal of Pediatric Surgery,, 1531-5037, 0022-3468,,2.4
2950,Journal of Pediatric Surgery Case Reports,, 2213-5766,,,0.4
2951,Journal of Pediatric Surgery Open, 2949-7116,,,,2.4
2952,Journal of Pediatric Urology,, 1873-4898, 1477-5131,,2
2953,The Journal of Pediatrics,, 1097-6833, 0022-3476,,5.1
2954,The Journal of Pediatrics: X,, 2590-0420,,,5.1
2955,Journal de Pédiatrie et de Puériculture,, 1777-5981, 0987-7983,,
2956,Journal of PeriAnesthesia Nursing,, 1532-8473, 1089-9472,,1.7
2957,Journal of Petroleum Science and Engineering, 0920-4105,,,,
2958,Journal of Pharmaceutical Analysis,, 2214-0883, 2095-1779,,8.8
2959,Journal of Pharmaceutical and Biomedical Analysis,, 1873-264X, 0731-7085,,3.4
2960,Journal of Pharmaceutical and Biomedical Analysis Open, 2949-771X,,,,3.4
2961,Journal of Pharmaceutical Sciences,, 1520-6017, 0022-3549,,3.8
2962,Journal of Pharmacological Methods, 0160-5402,,,,
2963,Journal of Pharmacological Sciences,, 1347-8648, 1347-8613,,3.5
2964,Journal of Pharmacological and Toxicological Methods,, 1873-488X, 1056-8719,,1.9
2965,Journal of Pharmacy Research, 0974-6943,,,,
2966,Journal of Phonetics,, 1095-8576, 0095-4470,,1.9
2967,Journal of Photochemistry, 0047-2670,,,,
2968,Journal of Photochemistry and Photobiology, 2666-4690,,,,
2969,Journal of Photochemistry and Photobiology A: Chemistry,, 1873-2666, 1010-6030,,4.3
2970,Journal of Photochemistry and Photobiology B: Biology,, 1873-2682, 1011-1344,,5.4
2971,Journal of Photochemistry and Photobiology C: Photochemistry Reviews,, 1873-2739, 1389-5567,,13.6
2972,Journal of Physical Organic Chemistry, 0894-3230,,,,
2973,Journal of Physics and Chemistry of Solids,, 1879-2553, 0022-3697,,4
2974,Journal of Physiology-Paris, 0928-4257,,,,
2975,Journal of Physiotherapy,, 1836-9561,, 1836-9553,10.7
2976,Journal of Pierre Fauchard Academy (India Section), 0970-2199,,,,
2977,Journal of Pipeline Science and Engineering,, 2667-1433,,,
2978,Journal of Plant Physiology,, 1618-1328, 0176-1617,,4.3
2979,"Journal of Plastic, Reconstructive & Aesthetic Surgery",, 1878-0539, 1748-6815,,2.7
2980,Journal of Policy Modeling,, 1873-8060, 0161-8938,,3.5
2981,Journal of Power Sources,, 1873-2755, 0378-7753,,9.2
2982,Journal of Power Sources Advances,, 2666-2485,,,4.5
2983,Journal of Pragmatics,, 1879-1387, 0378-2166,,1.6
2984,Journal of Process Control,, 1873-2771, 0959-1524,,4.2
2985,Journal of Product Innovation Management, 0737-6782,,,,
2986,Journal of Professional Nursing,, 1532-8481, 8755-7223,,2.5
2987,The Journal of Prosthetic Dentistry,, 1097-6841, 0022-3913,,4.6
2988,Journal of Prosthodontic Research, 1883-1958,,,,
2989,Journal of Proteomics,, 1876-7737, 1874-3919,,3.3
2990,Journal of Psychiatric Research,, 1879-1379, 0022-3956,,4.8
2991,Journal of Psychosomatic Research,, 1879-1360, 0022-3999,,4.7
2992,Journal of Public Economics,, 1879-2316, 0047-2727,,9.8
2993,Journal of Public Economics Plus,, 2666-5514,,,9.8
2994,Journal of Public Transportation, 1077-291X,,,,37.7
2995,Journal of Purchasing and Supply Management,, 1873-6505, 1478-4092,,6.1
2996,Journal of Pure and Applied Algebra,, 1873-1376, 0022-4049,,0.8
2997,Journal of Quality Management, 1084-8568,,,,
2998,Journal of Quantitative Spectroscopy and Radiative Transfer,, 1879-1352, 0022-4073,,2.3
2999,Journal of Radiation Research and Applied Sciences,, 2314-7164,, 1687-8507,1.7
3000,Journal de Radiologie, 0221-0363,,,,
3001,Journal de Radiologie Diagnostique et Interventionnelle, 2211-5706,,,,
3002,Journal of Radiology Nursing,, 1555-9912, 1546-0843,,
3003,Journal of Rail Transport Planning & Management,, 2210-9714, 2210-9706,,3.7
3004,Journal of Rare Earths,, 2509-4963, 1002-0721,,4.9
3005,Journal de Réadaptation Médicale : Pratique et Formation en Médecine Physique et de Réadaptation, 0242-648X,,,,
3006,Journal of Renal Nutrition,, 1532-8503, 1051-2276,,3.2
3007,Journal of Reproduction and Contraception, 1001-7844,,,,
3008,Journal of Reproductive Health and Medicine, 2214-420X,,,,
3009,Journal of Reproductive Immunology,, 1872-7603, 0165-0378,,3.4
3010,Journal of Research in Personality,, 1095-7251, 0092-6566,,3.3
3011,Journal of Responsible Technology,, 2666-6596,,,
3012,Journal of Retailing,, 1873-3271, 0022-4359,,10
3013,Journal of Retailing and Consumer Services,, 1873-1384, 0969-6989,,10.4
3014,Journal of Road Engineering, 2097-0498,,,,
3015,Journal of Rock Mechanics and Geotechnical Engineering,, 2589-0417, 1674-7755,,7.3
3016,Journal of Rural Studies,, 1873-1392, 0743-0167,,5.1
3017,Journal of Safety Research,, 1879-1247, 0022-4375,,4.1
3018,Journal of Safety Science and Resilience, 2666-4496,,,,
3019,Journal of Safety and Sustainability, 2949-9267,,,,
3020,Journal of Saudi Chemical Society,, 2212-4640, 1319-6103,,5.6
3021,Journal of the Saudi Heart Association, 1016-7315,,,,
3022,Journal of the Saudi Society of Agricultural Sciences,, 1658-077X,,,
3023,Journal of the Saudi Society of Dermatology & Dermatologic Surgery, 2210-836X,,,,
3024,Journal of School Psychology,, 1873-3506, 0022-4405,,5
3025,Journal of Science: Advanced Materials and Devices,, 2468-2179, 2468-2284,,8
3026,Journal of Science and Medicine in Sport,, 1878-1861, 1440-2440,,4
3027,Journal of Sea Research,, 1873-1414, 1385-1101,,2
3028,Journal of Second Language Writing,, 1873-1422, 1060-3743,,6.1
3029,The Journal of Sexual Medicine, 1743-6095,,,,
3030,Journal of Shoulder and Elbow Surgery,, 1532-6500, 1058-2746,,3
3031,Journal of Social and Biological Structures, 0140-1750,,,,
3032,Journal of Social and Evolutionary Systems, 1061-7361,,,,
3033,The Journal of Social Studies Research, 0885-985X,,,,
3034,Journal of the Society for Cardiovascular Angiography & Interventions, 2772-9303,,,,
3035,The Journal of Socio-Economics, 1053-5357,,,,
3036,Journal SOGC, 0849-5831,,,,
3037,Journal of Solid State Chemistry,, 1095-726X, 0022-4596,,3.3
3038,Journal of Sound and Vibration,, 1095-8568, 0022-460X,,4.7
3039,Journal of South American Earth Sciences,, 1873-0647, 0895-9811,,1.8
3040,Journal of Southeast Asian Earth Sciences, 0743-9547,,,,
3041,Journal of Space Safety Engineering,, 2468-8967, 2468-8975,,
3042,Journal of Sport and Health Science,, 2213-2961, 2095-2546,,11.7
3043,Journal of Statistical Planning and Inference,, 1873-1171, 0378-3758,,0.9
3044,Journal of Steroid Biochemistry, 0022-4731,,,,
3045,The Journal of Steroid Biochemistry and Molecular Biology,, 1879-1220, 0960-0760,,4.1
3046,"Journal of Stomatology, Oral and Maxillofacial Surgery",, 2468-7855, 2468-8509,,2.2
3047,Journal of Stored Products Research,, 1879-1212, 0022-474X,,2.7
3048,The Journal of Strategic Information Systems,, 1873-1198, 0963-8687,,7
3049,Journal of Stroke and Cerebrovascular Diseases,, 1532-8511, 1052-3057,,2.5
3050,Journal of Structural Biology,, 1095-8657, 1047-8477,,3
3051,Journal of Structural Biology: X,, 2590-1524,,,2.9
3052,Journal of Structural Geology,, 1873-1201, 0191-8141,,3.1
3053,Journal of Substance Abuse, 0899-3289,,,,
3054,Journal of Substance Abuse Treatment, 0740-5472,,,,
3055,Journal of Substance Use and Addiction Treatment,, 2949-8759, 2949-8767,,
3056,Journal of Sulfur Chemistry, 1741-5993,,,,
3057,The Journal of Supercritical Fluids,, 1872-8162, 0896-8446,,3.9
3058,Journal of Supramolecular Chemistry, 1472-7862,,,,
3059,The Journal of Surgery, 1741-6280,,,,
3060,Journal of Surgical Education,, 1878-7452, 1931-7204,,2.9
